ESTIMATIVAS DA POPULAÇÃO RESIDENTE NO BRASIL E UNIDADES DA FEDERAÇÃO COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2020;;;;;
BRASIL E UNIDADES DA FEDERAÇÃO;;POPULAÇÃO ESTIMADA;;;
Brasil;;211.755.692;;;
Região Norte;;18.672.591;;;
Rondônia;;1.796.460;;;
Acre;;894.470;;;
Amazonas;;4.207.714;;;
Roraima;;631.181;;;
Pará;;8.690.745;;;
Amapá;;861.773;;;
Tocantins;;1.590.248;;;
Maranhão;;7.114.598;;;
Piauí;;3.281.480;;;
Ceará;;9.187.103;;;
Rio Grande do Norte;;3.534.165;;;
Paraíba;;4.039.277;;;
Pernambuco;;9.616.621;;;
Alagoas;;3.351.543;;;
Sergipe;;2.318.822;;;
Bahia;;14.930.634;;;
Minas Gerais;;21.292.666;;;
Espírito Santo;;4.064.052;;;
Rio de Janeiro;;17.366.189;;;
São Paulo;;46.289.333;;;
Paraná;;11.516.840;;;
Santa Catarina;;7.252.502;;;
Rio Grande do Sul;;11.422.973;;;
Mato Grosso do Sul;;2.809.394;;;
Mato Grosso;;3.526.220;;;
Goiás;;7.113.540;;;
Distrito Federal;;3.055.149;;;
;;;;;
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação de População e Indicadores Sociais - COPIS.;;;;;
 Notas:;;;;;
 (1) Diferença de 783 pessoas entre os Estados do Piauí e Ceará com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (2) Diferença de 451 pessoas entre os Estados de Alagoas e Pernambuco com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (3) Diferença de 210 pessoas entre os Estados de Sergipe e Bahia com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
 (4) Diferença de 2.603 pessoas entre o Estado de Goiás e o Distrito Federal com relação a Projeção da População para o Brasil e Unidades da Federação 2020, para o ano de 2020, em virtude de alteração de limites entre municípios na fronteira interestadual.;;;;;
