 Nascidos vivos - Santa Catarina
Nascim p/resid.mãe por Ano do nascimento e Mês do nascimento
Período:1994-2018
"Ano do nascimento";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"1994";6849;6329;7587;7566;7974;7818;7396;7168;7131;6793;6218;6695;7;85531
"1995";8586;7582;8725;8389;8920;8525;8594;8566;7860;7534;7526;7953;16;98776
"1996";8489;8092;8889;8431;8913;8414;8977;8651;8299;8122;7355;7660;18;100310
"1997";7983;7988;8622;8560;8808;8696;8592;8473;7529;7607;7127;7732;-;97717
"1998";8569;7932;8770;8218;8629;8206;8521;7800;8040;7445;6907;7086;-;96123
"1999";8450;7844;8982;8685;9124;8599;8858;8653;8247;7862;6889;6661;-;98854
"2000";7789;8016;8744;8032;8254;7894;8350;8028;7868;7439;7094;7320;-;94828
"2001";7738;7109;8126;7600;8100;7561;7553;7247;7197;6931;6417;6518;-;88097
"2002";7473;7134;7873;7656;7727;7014;7303;7120;7131;6827;6315;6157;-;85730
"2003";6749;6865;7108;7131;7372;7024;7227;7047;7230;6817;6152;6455;-;83177
"2004";7391;7022;7743;7372;7744;7305;7096;7251;7200;6662;6234;6455;-;85475
"2005";6682;6552;7609;7506;7758;7169;7439;7263;7214;6765;6401;6226;-;84584
"2006";6865;6613;7556;7509;7566;7402;7159;7184;7078;6496;6178;6527;-;84133
"2007";7256;6991;7660;6946;7192;7081;7121;6879;6450;6286;5998;6043;-;81903
"2008";6603;7152;7621;7433;7755;7114;7054;7085;7159;6849;6291;7146;-;85262
"2009";7281;6862;7809;7072;6899;6834;7218;6912;7255;6595;6212;6540;-;83489
"2010";7222;6940;8100;7443;7576;7422;7251;6810;6695;6376;5937;6839;-;84611
"2011";7739;7299;8254;7546;8045;7443;7504;7360;6950;6227;6214;6900;-;87481
"2012";7527;7396;8247;7544;8008;7684;7460;7405;7072;7013;6487;6929;-;88772
"2013";7753;7320;8042;8064;8045;7391;7535;7313;7158;7124;6780;7350;-;89875
"2014";8097;7678;8215;8237;8309;7756;8081;7776;7843;6943;6665;7632;-;93232
"2015";8267;7886;9093;8431;8672;8202;8245;7918;7934;7505;7214;7856;-;97223
"2016";8381;8307;8846;8493;8614;8106;8186;7818;7530;7025;6790;7217;-;95313
"2017";7471;7884;9412;8748;9237;8626;8405;8347;7839;7435;7137;7794;-;98335
"2018";8451;7749;8945;8765;8979;8112;8463;8329;8137;7775;7854;8050;-;99609
"Total";191661;184542;206578;197377;204220;193398;195588;190403;186046;176453;166392;175741;41;2268440
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
